Method,Threshold,Num Clusters,Num Tags Covered,Num Unique Tags,Overall Alignment
M1,50,500,3,44,0.15159090909090908
M1,60,500,3,44,0.15159090909090908
M1,70,500,3,44,0.15159090909090908
M2,50,141,2,34,0.14691176470588235
M2,60,141,2,34,0.14691176470588235
M2,70,141,2,34,0.14691176470588235
